Chapter,Data,URL,License,BibTex
1,Programming Languages Database,https://pldb.com,PLDB content is published to the public domain and you can use it freely.,[@pldb_data]
2,Honey Bee Colonies,https://usda.library.cornell.edu/concern/publications/rn301137d ,All publication files are considered government works and licensed with U.S. Public Domain.,
3,Mapping Museums,https://museweb.dcs.bbk.ac.uk/allmus ,Licensed with [Creative Commons Attribution 4.0 International](https://creativecommons.org/licenses/by/4.0/).,[@museums_data]
4,,,,
5,,,,
6,,,,
7,The small home ranges and large local ecological impacts of pet cats,https://www.datarepository.movebank.org/entities/datapackage/4ef43458-a0c0-4ff0-aed4-64b07cedf11c ,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,
8,"Medical doctors per 1,000 people, 2019",https://ourworldindata.org/grapher/physicians-per-1000-people ,Licensed with [Creative Commons Attribution 4.0 International](https://creativecommons.org/licenses/by/4.0/).,[@doctors_data]
9,Time Zones,https://data.iana.org/time-zones/tz-link.html#tzdb,This web page is in the public domain.,
10,US House Election Results,https://doi.org/10.7910/DVN/IG0UN2,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@elections_data]
11,Lemurs,https://lemur.duke.edu/duke-lemur-center-database,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,
12,,,,
13,RAM Legacy Stock Assessment Database,https://zenodo.org/records/4824192 ,Licensed with [Creative Commons Attribution 4.0 International](https://creativecommons.org/licenses/by/4.0/).,
14,Historical Cross Country Technology Adoption Dataset,https://www.nber.org/research/data/historical-cross-country-technology-adoption-hccta-dataset,The authors have made this dataset available for anyone to use.,[@technology_data]
15,,,,
16,,,,
