"id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations"
981,"Abiy Ahmed Ali","male","1976-08-15","Beshasha Ethiopia","","","Peace",2019,"1",NA,"for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",""
541,"Adolfo Pérez Esquivel","male","1931-11-26","Buenos Aires Argentina","","","Peace",1980,"1",NA,"for being a source of inspiration to repressed people especially in Latin America",""
819,"Al Gore","male","1948-03-31","Washington D.C. USA","","","Peace",2007,"1/2",NA,"for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change",""
465,"Albert Gobat","male","1843-05-21","Tramelan Switzerland","1914-03-16","Bern Switzerland","Peace",1902,"1/2",NA,"for his eminently practical administration of the Inter-Parliamentary Union",""
519,"Albert Lutuli","male","1898-00-00","Bulawayo Southern Rhodesia (now Zimbabwe)","1967-07-21","Stanger South Africa","Peace",1960,"1",NA,"for his non-violent struggle against apartheid",""
513,"Albert Schweitzer","male","1875-01-14","Kaysersberg Germany (now France)","1965-09-04","Lambaréné Gabon","Peace",1952,"1",NA,"for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",""
1018,"Ales Bialiatski","male","1962-09-25","Vyartsilya Karelia Russia","","","Peace",2022,"1/3",NA,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",""
544,"Alfonso García Robles","male","1911-03-20","Zamora Mexico","1991-09-02","Mexico City Mexico","Peace",1982,"1/2",NA,"for their work for disarmament and nuclear and weapon-free zones",""
479,"Alfred Fried","male","1864-11-11","Vienna Austria","1921-05-04","Vienna Austria","Peace",1911,"1/2",NA,"for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations",""
543,"Alva Myrdal","female","1902-01-31","Uppsala Sweden","1986-02-01","Stockholm Sweden","Peace",1982,"1/2",NA,"for their work for disarmament and nuclear and weapon-free zones",""
509,"American Friends Service Committee","org","1917-00-00","Washington D.C. USA","","","Peace",1947,"1/2",NA,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations",""
537,"Amnesty International","org","1961-00-00","London United Kingdom","","","Peace",1977,"1",NA,"for worldwide respect for human rights",""
534,"Andrei Sakharov","male","1921-05-21","Moscow Russia","1989-12-14","Moscow USSR (now Russia)","Peace",1975,"1",NA,"for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations",""
538,"Anwar al-Sadat","male","1918-12-25","Mit Abu al-Kawm Egypt","1981-10-06","Cairo Egypt","Peace",1978,"1/2",NA,"for jointly having negotiated peace between Egypt and Israel in 1978",""
490,"Aristide Briand","male","1862-03-28","Nantes France","1932-03-07","Paris France","Peace",1926,"1/2",NA,"for their crucial role in bringing about the Locarno Treaty",""
499,"Arthur Henderson","male","1863-09-13","Glasgow Scotland","1935-10-20","London United Kingdom","Peace",1934,"1",NA,"for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34",""
