"","id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations"
"1",102,"Aage N. Bohr","male","1922-06-19","Copenhagen Denmark","2009-09-08","Copenhagen Denmark","Physics",1975,"1/3","","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Niels Bohr Institute; Copenhagen Denmark"
"2",114,"Abdus Salam","male","1926-01-29","Jhang Maghiāna India (now Pakistan)","1996-11-21","Oxford United Kingdom","Physics",1979,"1/3","","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current","International Centre for Theoretical Physics; Trieste Italy; Imperial College; London United Kingdom"
"3",866,"Adam G. Riess","male","1969-12-16","Washington D.C. USA","","","Physics",2011,"1/4","","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","Johns Hopkins University; Baltimore MD USA; Space Telescope Science Institute; Baltimore MD USA"
"4",1012,"Alain Aspect","male","1947-06-15","Agen France","","","Physics",2022,"1/3","","for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science","Institut d’Optique Graduate School – Université Paris-Saclay; Paris France; École Polytechnique; Palaiseau France"
"5",11,"Albert A. Michelson","male","1852-12-19","Strelno Prussia (now Strzelno Poland)","1931-05-09","Pasadena CA USA","Physics",1907,"1","","for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid","University of Chicago; Chicago IL USA"
"6",26,"Albert Einstein","male","1879-03-14","Ulm Germany","1955-04-18","Princeton NJ USA","Physics",1921,"1","","for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik; Berlin Germany"
"7",814,"Albert Fert","male","1938-03-07","Carcassonne France","","","Physics",2007,"1/2","","for the discovery of Giant Magnetoresistance","Universit&eacute; Paris-Sud; Orsay France; Unit&eacute; Mixte de Physique CNRS/THALES; Orsay France"
"8",83,"Aleksandr M. Prokhorov","male","1916-07-11","Atherton Australia","2002-01-08","Moscow Russia","Physics",1964,"1/4","","for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle","P.N. Lebedev Physical Institute; Moscow USSR (now Russia)"
"9",766,"Alexei Abrikosov","male","1928-06-25","Moscow USSR (now Russia)","2017-03-29","","Physics",2003,"1/3","","for pioneering contributions to the theory of superconductors and superfluids","Argonne National Laboratory; Argonne IL USA"
"10",87,"Alfred Kastler","male","1902-05-03","Guebwiller Germany (now France)","1984-01-07","Bandol France","Physics",1966,"1","","for the discovery and development of optical methods for studying Hertzian resonances in atoms","École Normale Supérieure; Paris France"
"11",849,"Andre Geim","male","1958-10-21","Sochi Russia","","","Physics",2010,"1/2","","for groundbreaking experiments regarding the two-dimensional material graphene","University of Manchester; Manchester United Kingdom"
"12",990,"Andrea Ghez","female","1965-06-16","New York NY USA","","","Physics",2020,"1/4","","for the discovery of a supermassive compact object at the centre of our galaxy","University of California; Los Angeles CA USA"
"13",1028,"Anne L’Huillier","female","1958-08-16","Paris France","","","Physics",2023,"1/3","","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","Lund University; Lund Sweden"
"14",768,"Anthony J. Leggett","male","1938-03-26","London United Kingdom","","","Physics",2003,"1/3","","for pioneering contributions to the theory of superconductors and superfluids","University of Illinois; Urbana IL USA"
"15",1014,"Anton Zeilinger","male","1945-05-20","Ried im Innkreis Austria","","","Physics",2022,"1/3","","for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science","University of Vienna; Vienna Austria; Institute for Quantum Optics and Quantum Information Austrian Academy of Sciences; Vienna Austria"
"16",101,"Antony Hewish","male","1924-05-11","Fowey United Kingdom","2021-09-13","","Physics",1974,"1/2","","for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars","University of Cambridge; Cambridge United Kingdom"
"17",111,"Arno Penzias","male","1933-04-26","Munich Germany","2024-01-22","San Francisco CA USA","Physics",1978,"1/4","","for their discovery of cosmic microwave background radiation","Bell Laboratories; Holmdel NJ USA"
"18",960,"Arthur Ashkin","male","1922-09-02","New York NY USA","2020-09-21","Rumson NJ USA","Physics",2018,"1/2","for groundbreaking inventions in the field of laser physics","for the optical tweezers and their application to biological systems","Bell Laboratories; Holmdel NJ USA"
"19",920,"Arthur B. McDonald","male","1943-08-29","Sydney Nova Scotia Canada","","","Physics",2015,"1/2","","for the discovery of neutrino oscillations which shows that neutrinos have mass","Queen's University; Kingston Canada"
"20",33,"Arthur H. Compton","male","1892-09-10","Wooster OH USA","1962-03-15","Berkeley CA USA","Physics",1927,"1/2","","for his discovery of the effect named after him","University of Chicago; Chicago IL USA"
"21",119,"Arthur L. Schawlow","male","1921-05-05","Mount Vernon NY USA","1999-04-28","Palo Alto CA USA","Physics",1981,"1/4","","for their contribution to the development of laser spectroscopy","Stanford University; Stanford CA USA"
"22",942,"Barry C. Barish","male","1936-01-27","Omaha NE USA","","","Physics",2017,"1/4","","for decisive contributions to the LIGO detector and the observation of gravitational waves","LIGO/VIRGO Collaboration; ; California Institute of Technology (Caltech); Pasadena CA USA"
"23",103,"Ben R. Mottelson","male","1926-07-09","Chicago IL USA","2022-05-13","","Physics",1975,"1/3","","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Nordita; Copenhagen Denmark"
"24",145,"Bertram N. Brockhouse","male","1918-07-15","Lethbridge Alberta Canada","2003-10-13","Hamilton Ontario Canada","Physics",1994,"1/2","for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter","for the development of neutron spectroscopy","McMaster University; Hamilton Ontario Canada"
"25",99,"Brian D. Josephson","male","1940-01-04","Cardiff United Kingdom","","","Physics",1973,"1/2","","for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects","University of Cambridge; Cambridge United Kingdom"
"26",865,"Brian P. Schmidt","male","1967-02-24","Missoula MT USA","","","Physics",2011,"1/4","","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","Australian National University; Weston Creek Australia"
"27",105,"Burton Richter","male","1931-03-22","Brooklyn NY USA","2018-07-18","Stanford CA USA","Physics",1976,"1/2","","for their pioneering work in the discovery of a heavy elementary particle of a new kind","Stanford Linear Accelerator Center; Stanford CA USA"
