"funs","pkgs","in_multiple_pkgs","relative_paths","absolute_paths"
"library","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"library","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"library","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"library","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"font_add_google","sysfonts",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"font_add_google","sysfonts",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"showtext_auto","showtext",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"read_csv","readr",TRUE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"read_csv","readr",TRUE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"pivot_longer","tidyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"pivot_longer","tidyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"full_join","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"mutate","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"drop_na","tidyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"group_by","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"slice_max","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"map_data","ggplot",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"sort","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"unique","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"sort","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"unique","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"mutate","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"recode","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"ungroup","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"left_join","dplyr",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"filter","dplyr",TRUE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"gg_record","camcorder",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"file.path","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"ggplot","ggplot",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"aes","ggplot",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"log10","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"geom_map","ggplot",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"scale_y_continuous","ggplot",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base",FALSE,"2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
