Photographer,Source,License_link,License,BibTex
Lemur by [Jax (\@lysrix)](https://unsplash.com/@lysrix),https://unsplash.com/photos/red-and-white-rodent-h5xrh3CNT-k,https://unsplash.com/license,Licensed with [Unsplash License](https://unsplash.com/license).,[@img_jax]
{dplyr} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/dplyr.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_dplyr]
{ggplot2} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/gglot2.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_ggplot2]
{tidyr} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/tidyr.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_tidyr]
{readr} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/readr.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_readr]
{purrr} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/purrr.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_purrr]
{forcats} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/forcats.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_forcats]
{tibble} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/tibble.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_tibble]
{stringr} Hex sticker,https://github.com/rstudio/hex-stickers/blob/main/PNG/stringr.png,https://github.com/rstudio/hex-stickers?tab=CC0-1.0-1-ov-file#readme,Licensed with [Creative Commons Zero License](https://creativecommons.org/publicdomain/zero/1.0/).,[@hex_stringr]
School of Gray Fish by [Lance Anderson (\@lanceanderson)](https://unsplash.com/@lanceanderson),https://unsplash.com/photos/school-of-gray-fish-G2SDLsJp3rg,https://unsplash.com/license,Licensed with [Unsplash License](https://unsplash.com/license).,[@img_anderson]
Wind Power Flaticon,https://www.flaticon.com/free-icon/wind-power_5670189,https://support.flaticon.com/s/article/Attribution-How-when-and-where-FI,Licensed with [Flaticon License](https://www.flaticon.com/free-icon/wind-power_5670189): Free for personal and commercial purpose with attribution.,[@flaticon]
